11,ACEH,21
12,SUMATERA UTARA,34
13,SUMATERA BARAT,32
14,RIAU,26
15,JAMBI,8
16,SUMATERA SELATAN,33
17,BENGKULU,4
18,LAMPUNG,18
19,KEPULAUAN BANGKA BELITUNG,2
21,KEPULAUAN RIAU,17
31,DKI JAKARTA,6
32,JAWA BARAT,9
33,JAWA TENGAH,10
34,DI YOGYAKARTA,5
35,JAWA TIMUR,11
36,BANTEN,3
51,BALI,1
52,NUSA TENGGARA BARAT,22
53,NUSA TENGGARA TIMUR,23
61,KALIMANTAN BARAT,12
62,KALIMANTAN TENGAH,14
63,KALIMANTAN SELATAN,13
64,KALIMANTAN TIMUR,15
65,KALIMANTAN UTARA,16
71,SULAWESI UTARA,31
72,SULAWESI TENGAH,29
73,SULAWESI SELATAN,28
74,SULAWESI TENGGARA,30
75,GORONTALO,7
76,SULAWESI BARAT,27
81,MALUKU,19
82,MALUKU UTARA,20
91,PAPUA BARAT,25
94,PAPUA,24